id,prediction
1,2
2,4
3,1
4,4
5,0
6,2
7,0
8,2
9,3
10,1
11,0
12,4
13,1
14,2
15,0
16,3
17,3
18,0
19,1
20,2
21,2
22,1
23,0
24,0
25,0
26,3
27,1
28,2
29,4
30,4
31,3
32,1
33,4
34,4
35,1
36,2
37,3
38,2
39,0
40,0
41,1
42,1
43,4
44,4
45,3
46,0
47,1
48,4
49,1
50,3
51,1
52,2
53,4
54,2
55,1
56,4
57,3
58,3
59,3
60,3
61,4
62,0
63,3
64,1
65,0
66,3
67,2
68,1
69,1
70,1
71,3
72,1
73,3
74,3
75,3
76,3
77,3
78,4
79,4
80,2
81,2
82,0
83,3
84,3
85,2
86,4
87,4
88,2
89,2
90,3
91,4
92,2
93,2
94,3
95,4
96,1
97,0
98,4
99,4
100,1
101,1
102,1
103,3
104,3
105,3
106,3
107,3
108,0
109,1
110,1
111,1
112,3
113,3
114,1
115,4
116,0
117,1
118,1
119,1
120,2
121,1
122,1
123,2
124,1
125,1
126,2
127,4
128,1
129,4
130,3
131,4
132,1
133,3
134,0
135,1
136,4
137,1
138,0
139,2
140,2
141,3
142,4
143,4
144,3
145,0
146,3
147,0
148,4
149,3
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,3
159,3
160,1
161,1
162,4
163,1
164,1
165,3
166,4
167,3
168,0
169,1
170,3
171,4
172,3
173,0
174,1
175,2
176,2
177,3
178,0
179,1
180,0
181,4
182,1
183,0
184,3
185,1
186,0
187,3
188,4
189,2
190,2
191,0
192,4
193,2
194,3
195,2
196,3
197,0
198,2
199,0
200,3
201,2
202,0
203,2
204,0
205,4
206,0
207,4
208,2
209,3
210,3
211,2
212,2
213,2
214,2
215,1
216,1
217,2
218,0
219,4
220,0
221,2
222,1
223,2
224,3
225,1
226,1
227,0
228,0
229,1
230,2
231,4
232,3
233,1
234,2
235,3
236,4
237,4
238,1
239,0
240,4
241,4
242,4
243,0
244,1
245,0
246,1
247,3
248,2
249,2
250,1
251,1
252,3
253,0
254,2
255,2
256,4
257,1
258,1
259,2
260,3
261,4
262,3
263,3
264,3
265,0
266,3
267,4
268,4
269,4
270,1
271,2
272,2
273,0
274,4
275,4
276,4
277,1
278,3
279,2
280,0
281,3
282,1
283,0
284,2
285,1
286,2
287,2
288,2
289,1
290,3
291,3
292,0
293,3
294,0
295,3
296,2
297,0
298,1
299,2
300,3
301,4
302,2
303,0
304,4
305,2
306,0
307,0
308,0
309,3
310,2
311,3
312,2
313,0
314,1
315,4
316,1
317,0
318,3
319,4
320,4
321,2
322,4
323,2
324,4
325,0
326,4
327,3
328,4
329,1
330,3
331,0
332,0
333,4
334,1
335,2
336,1
337,0
338,1
339,1
340,3
341,3
342,0
343,3
344,2
345,0
346,4
347,4
348,4
349,4
350,2
351,3
352,0
353,4
354,2
355,1
356,4
357,3
358,0
359,3
360,3
361,0
362,0
363,3
364,3
365,1
366,1
367,4
368,2
369,4
370,0
371,4
372,2
373,3
374,4
375,3
376,4
377,2
378,1
379,4
380,2
381,2
382,2
383,2
384,4
385,3
386,0
387,3
388,3
389,4
390,3
391,3
392,1
393,0
394,3
395,2
396,3
397,4
398,4
399,2
400,4
401,0
402,2
403,3
404,4
405,0
406,1
407,2
408,3
409,2
410,3
411,4
412,3
413,3
414,1
415,4
416,3
417,4
418,2
419,1
420,0
421,2
422,1
423,3
424,4
425,4
426,1
427,1
428,4
429,3
430,4
431,2
432,2
433,2
434,1
435,3
436,0
437,4
438,3
439,1
440,0
441,2
442,0
443,3
444,2
445,0
446,2
447,3
448,1
449,1
450,1
451,4
452,1
453,0
454,4
455,4
456,3
457,2
458,1
459,0
460,1
461,4
462,4
463,4
464,3
465,4
466,2
467,1
468,0
469,4
470,3
471,4
472,3
473,3
474,4
475,1
476,2
477,4
478,3
479,3
480,3
481,4
482,1
483,1
484,3
485,2
486,1
487,3
488,2
489,2
490,0
491,0
492,0
493,2
494,2
495,4
496,3
497,4
498,4
499,4
500,1
501,4
502,0
503,2
504,1
505,1
506,2
507,0
508,0
509,4
510,4
511,0
512,3
513,4
514,0
515,4
516,4
517,1
518,0
519,0
520,1
521,1
522,2
523,2
524,4
525,3
526,0
527,0
528,4
529,3
530,0
531,2
532,3
533,1
534,1
535,2
536,1
537,0
538,1
539,4
540,4
541,0
542,4
543,2
544,3
545,3
546,2
547,3
548,2
549,3
550,2
551,1
552,0
553,4
554,3
555,1
556,0
557,1
558,2
559,0
560,0
561,4
562,4
563,1
564,3
565,0
566,3
567,2
568,2
569,2
570,2
571,0
572,3
573,0
574,0
575,2
576,1
577,0
578,2
579,4
580,1
581,1
582,0
583,3
584,0
585,0
586,4
587,1
588,4
589,3
590,0
591,4
592,4
593,4
594,3
595,3
596,4
597,0
598,2
599,1
600,1
601,2
602,2
603,0
604,3
605,0
606,3
607,3
608,3
609,1
610,0
611,3
612,2
613,2
614,1
615,0
616,1
617,4
618,3
619,3
620,1
621,0
622,1
623,4
624,0
625,0
626,4
627,1
628,1
629,0
630,0
631,1
632,2
633,1
634,1
635,3
636,2
637,4
638,4
639,3
640,4
641,0
642,4
643,1
644,0
645,2
646,4
647,0
648,2
649,3
650,1
651,0
652,4
653,2
654,0
655,1
656,2
657,2
658,1
659,2
660,2
661,0
662,0
663,3
664,0
665,0
666,1
667,3
668,1
669,3
670,0
671,0
672,4
673,4
674,3
675,4
676,2
677,3
678,1
679,0
680,4
681,1
682,2
683,1
684,4
685,3
686,4
687,3
688,1
689,3
690,3
691,2
692,3
693,4
694,0
695,0
696,0
697,1
698,2
699,0
700,4
701,4
702,2
703,2
704,3
705,3
706,4
707,2
708,0
709,2
710,4
711,1
712,2
713,2
714,4
715,0
716,1
717,4
718,2
719,0
720,3
721,3
722,0
723,0
724,1
725,0
726,4
727,3
728,1
729,3
730,4
731,0
732,3
733,1
734,2
735,0
736,2
737,0
738,0
739,4
740,4
741,3
742,2
743,3
744,0
745,0
746,2
747,3
748,3
749,2
750,3
751,1
752,2
753,4
754,0
755,2
756,2
757,2
758,1
759,1
760,0
761,0
762,0
763,4
764,4
765,2
766,4
767,0
768,1
769,2
770,1
771,3
772,2
773,1
774,0
775,3
776,1
777,4
778,3
779,1
780,2
781,4
782,3
783,3
784,2
785,3
786,4
787,3
788,3
789,1
790,2
791,1
792,2
793,1
794,0
795,3
796,0
797,1
798,2
799,1
800,2
801,2
802,0
803,1
804,4
805,4
806,2
807,1
808,0
809,2
810,2
811,1
812,0
813,1
814,3
815,2
816,4
817,4
818,0
819,1
820,1
821,4
822,2
823,3
824,4
825,0
826,1
827,1
828,1
829,3
830,1
831,0
832,3
833,2
834,4
835,0
836,2
837,1
838,2
839,1
840,4
841,3
842,1
843,1
844,3
845,2
846,2
847,2
848,4
849,1
850,0
851,0
852,0
853,4
854,3
855,3
856,0
857,2
858,4
859,1
860,4
861,2
862,3
863,2
864,2
865,3
866,1
867,2
868,0
869,0
870,0
871,4
872,1
873,3
874,1
875,4
876,4
877,1
878,1
879,3
880,2
881,3
882,4
883,0
884,1
885,3
886,4
887,0
888,1
889,2
890,0
891,4
892,3
893,3
894,2
895,2
896,4
897,2
898,0
899,0
900,3
901,1
902,1
903,1
904,1
905,0
906,4
907,3
908,4
909,1
910,3
911,4
912,4
913,2
914,3
915,0
916,1
917,4
918,2
919,2
920,2
921,3
922,1
923,0
924,3
925,0
926,2
927,2
928,4
929,4
930,0
931,3
932,0
933,2
934,4
935,2
936,1
937,0
938,0
939,3
940,0
941,3
942,0
943,2
944,1
945,0
